"Species","ID","Strain","RefStrain","Gene","Assembly_ID","NCBI_Reference_sequence","Strain_name","FASTA_name"
"Acinetobacter baumannii","4887331","ATCC 19606",TRUE,"gyrA","ASM903584v1","NZ_CP045110.1","ATCC_19606","gyrA_Acinetobacter_baumannii_ATCC_19606"
"Burkholderia dolosa","10877591","FDAARGOS_1463",TRUE,"gyrA","ASM1993078v1","NZ_CP082884.1","FDAARGOS_1463","gyrA_Burkholderia_dolosa_FDAARGOS_1463"
"Burkholderia pseudomallei","16972461","GTC3P0254T",TRUE,"gyrA","ASM3029725v1","NZ_AP028078.1","GTC3P0254T","gyrA_Burkholderia_pseudomallei_GTC3P0254T"
"Campylobacter jejuni","30628","NCTC 11168",TRUE,"gyrA","ASM908v1","NC_002163.1","NCTC_11168","gyrA_Campylobacter_jejuni_NCTC_11168"
"Campylobacter coli","5379081","FDAARGOS_735",TRUE,"gyrA","ASM973039v1","NZ_CP046318.1","FDAARGOS_735","gyrA_Campylobacter_coli_FDAARGOS_735"
"Citrobacter freundii","8407111","MSB1_1H",TRUE,"gyrA","MSB1_1H","NZ_LR890183.1","MSB1_1H","gyrA_Citrobacter_freundii_MSB1_1H"
"Clostridioides difficile","10310061","S-0253",TRUE,"gyrA","ASM1888508v1","NZ_CP076402.1","S-0253","gyrA_Clostridioides_difficile_S-0253"
"Corynebacterium diphtheriae","590211","NCTC11397",TRUE,"gyrA","NCTC11397","NZ_LN831026.1","NCTC11397","gyrA_Corynebacterium_diphtheriae_NCTC11397"
"Enterobacter cloacae","12890751",NA,TRUE,"gyrA","AI2999v1_cpp","NZ_OW968330.1",NA,"gyrA_Enterobacter_cloacae_NA"
"Enterococcus faecalis","678438","T5",TRUE,"gyrA","Ente_faec_T5_V1","NZ_KB944668.1","T5","gyrA_Enterococcus_faecalis_T5"
"Enterococcus faecium","5597671","SRR24",TRUE,"gyrA","ASM973400v2","NZ_CP038997.1","SRR24","gyrA_Enterococcus_faecium_SRR24"
"Escherichia coli","79781","MG1655",TRUE,"gyrA","ASM584v2","NC_000913.3","MG1655","gyrA_Escherichia_coli_MG1655"
"Haemophilus influenzae","11374871","FDAARGOS_1560",TRUE,"gyrA","ASM2073604v1","NZ_CP085952.1","FDAARGOS_1560","gyrA_Haemophilus_influenzae_FDAARGOS_1560"
"Helicobacter pylori","14312631","CHC155",TRUE,"gyrA","ASM2599845v1","NZ_AP026446.1","CHC155","gyrA_Helicobacter_pylori_CHC155"
"Klebsiella oxytoca","2180061","NCTC13727",TRUE,"gyrA","45889_C01","NZ_LR134333.1","NCTC13727","gyrA_Klebsiella_oxytoca_NCTC13727"
"Klebsiella pneumoniae","360158","HS11286",TRUE,"gyrA","ASM24018v2","NC_016845.1","HS11286","gyrA_Klebsiella_pneumoniae_HS11286"
"Neisseria gonorrhoeae","7083231","TUM19854",TRUE,"gyrA","ASM1303007v1","NZ_AP023070.1","TUM19854","gyrA_Neisseria_gonorrhoeae_TUM19854"
"Neisseria meningitidis","12472991","PartJ-Nmeningitidis-RM8376",TRUE,"gyrA","ASM2286964v1","NZ_CP064367.1","PartJ-Nmeningitidis-RM8376","gyrA_Neisseria_meningitidis_PartJ-Nmeningitidis-RM8376"
"Pseudomonas aeruginosa","28348","PAO1",TRUE,"gyrA","ASM676v1","NC_002516.2","PAO1","gyrA_Pseudomonas_aeruginosa_PAO1"
"Salmonella","619341","LT2",TRUE,"gyrA","ASM694v2","NC_003277.2","LT2","gyrA_Salmonella_LT2"
"Serratia marcescens","16961921","ELP1.10",TRUE,"gyrA","ASM3029173v1","NZ_CP127882.1","ELP1.10","gyrA_Serratia_marcescens_ELP1.10"
"Staphylococcus aureus","34528","NCTC 8325",TRUE,"gyrA","ASM1342v1","NC_007795.1","NCTC_8325","gyrA_Staphylococcus_aureus_NCTC_8325"
"Staphylococcus pseudintermedius","19924651","Dog029_1",TRUE,"gyrA","ASM3404277v1","NZ_CP120151.1","Dog029_1","gyrA_Staphylococcus_pseudintermedius_Dog029_1"
"Vibrio cholerae","4559801","RFB16",TRUE,"gyrA","ASM836960v1","NZ_CP043556.1","RFB16","gyrA_Vibrio_cholerae_RFB16"
"Vibrio parahaemolyticus","264558","RIMD 2210633",TRUE,"gyrA","ASM19609v1","NC_004605.1","RIMD_2210633","gyrA_Vibrio_parahaemolyticus_RIMD_2210633"
"Vibrio vulnificus","1156331","ATCC 27562",TRUE,"gyrA","ASM222426v1","NZ_CP012882.1","ATCC_27562","gyrA_Vibrio_vulnificus_ATCC_27562"
