class,phylum,gene,n,n_res,f_res
Abditibacteriia,Armatimonadota,gyrA,1,0,0
Acidimicrobiia,Actinomycetota,gyrA,16,6,0.375
Actinomycetes,Actinomycetota,gyrA,4096,496,0.12109375
Alphaproteobacteria,Pseudomonadota,gyrA,3243,1073,0.33086648165279064
Anaerolineae,Chloroflexota,gyrA,20,4,0.2
Aquificia,Aquificota,gyrA,6,0,0
Armatimonadia,Armatimonadota,gyrA,2,1,0.5
Atribacteria,Atribacterota,gyrA,3,0,0
Babeliae,Babelota,gyrA,2,2,1
Bacilli,Bacillota,gyrA,2508,287,0.11443381180223286
Bacilli_A,Bacillota_I,gyrA,366,62,0.16939890710382513
Bacteriovoracia,Bdellovibrionota,gyrA,5,5,1
Bacteroidia,Bacteroidota,gyrA,2542,430,0.16915814319433517
Bdellovibrionia,Bdellovibrionota,gyrA,5,3,0.6
Blastocatellia,Acidobacteriota,gyrA,4,3,0.75
Brachyspiria,Spirochaetota,gyrA,11,11,1
Bradymonadia,Myxococcota_A,gyrA,6,0,0
Brocadiia,Planctomycetota,gyrA,4,0,0
Caldisericia,Caldisericota,gyrA,2,0,0
Calditrichia,Calditrichota,gyrA,1,0,0
Campylobacteria,Campylobacterota,gyrA,221,18,0.08144796380090498
Chitinivibrionia,Fibrobacterota,gyrA,2,0,0
Chlamydiia,Chlamydiota,gyrA,34,1,0.029411764705882353
Chlorobiia,Bacteroidota,gyrA,14,0,0
Chloroflexia,Chloroflexota,gyrA,14,1,0.07142857142857142
Chrysiogenetes,Chrysiogenota,gyrA,4,0,0
Chthonomonadetes,Armatimonadota,gyrA,1,1,1
Cloacimonadia,Cloacimonadota,gyrA,2,0,0
Clostridia,Bacillota,gyrA,886,416,0.46952595936794583
Coriobacteriia,Actinomycetota,gyrA,94,29,0.30851063829787234
Cyanobacteriia,Cyanobacteriota,gyrA,229,7,0.03056768558951965
DSM-12270,Bacillota,gyrA,2,1,0.5
DSM-16504,Bacillota,gyrA,1,0,0
DSM-4660,Desulfobacterota,gyrA,2,1,0.5
DSM-521,Bacillota,gyrA,8,8,1
DUOV01,Bacillota,gyrA,1,0,0
Deferribacteres,Chrysiogenota,gyrA,14,5,0.35714285714285715
Deferrisomatia,Desulfobacterota,gyrA,2,2,1
Dehalobacteriia,Bacillota,gyrA,2,0,0
Dehalococcoidia,Chloroflexota,gyrA,9,0,0
Deinococci,Deinococcota,gyrA,133,51,0.38345864661654133
Desulfarculia,Desulfobacterota,gyrA,3,0,0
Desulfitisporia,Bacillota,gyrA,1,0,0
Desulfitobacteriia,Bacillota,gyrA,36,5,0.1388888888888889
Desulfobaccia,Desulfobacterota,gyrA,1,0,0
Desulfobacteria,Desulfobacterota,gyrA,38,5,0.13157894736842105
Desulfobulbia,Desulfobacterota,gyrA,27,1,0.037037037037037035
Desulfofervidia,Desulfobacterota,gyrA,1,0,0
Desulfomonilia,Desulfobacterota,gyrA,1,1,1
Desulfotomaculia,Bacillota,gyrA,31,17,0.5483870967741935
Desulfovibrionia,Desulfobacterota,gyrA,114,11,0.09649122807017543
Desulfurellia,Campylobacterota_A,gyrA,5,0,0
Desulfuromonadia,Desulfobacterota,gyrA,55,2,0.03636363636363636
Dethiobacteria,Bacillota,gyrA,2,1,0.5
Dictyoglomia,Dictyoglomota,gyrA,2,2,1
Dissulfuribacteria,Desulfobacterota,gyrA,3,2,0.6666666666666666
Elusimicrobia,Elusimicrobiota,gyrA,5,0,0
Endomicrobiia,Elusimicrobiota,gyrA,2,1,0.5
Fervidibacteria,Armatimonadota,gyrA,1,1,1
Fibrobacteria,Fibrobacterota,gyrA,4,3,0.75
Fidelibacteria,Fidelibacterota,gyrA,1,0,0
Fimbriimonadia,Armatimonadota,gyrA,1,1,1
Fusobacteriia,Fusobacteriota,gyrA,54,52,0.9629629629629629
GCA-003054495,Bacillota,gyrA,1,0,0
Gammaproteobacteria,Pseudomonadota,gyrA,4585,393,0.08571428571428572
Gemmatimonadetes,Gemmatimonadota,gyrA,8,0,0
Gorgyraeia,Omnitrophota,gyrA,1,1,1
Halanaerobiia,Bacillota,gyrA,23,12,0.5217391304347826
Holophagae,Acidobacteriota,gyrA,18,1,0.05555555555555555
Ignavibacteria,Bacteroidota,gyrA,6,1,0.16666666666666666
JAAYUW01,Spirochaetota,gyrA,1,0,0
JADQBR01,Bacillota,gyrA,1,0,0
KKC1,Bacillota,gyrA,1,1,1
Kiritimatiellia,Verrucomicrobiota,gyrA,5,0,0
Ktedonobacteria,Chloroflexota,gyrA,17,16,0.9411764705882353
Lentisphaeria,Verrucomicrobiota,gyrA,5,1,0.2
Leptospiria,Spirochaetota,gyrA,75,32,0.4266666666666667
Leptospirillia,Nitrospirota,gyrA,2,1,0.5
Limnochordia,Bacillota,gyrA,2,2,1
Magnetococcia,Pseudomonadota,gyrA,5,2,0.4
Methylomirabilia,Methylomirabilota,gyrA,1,0,0
Minisyncoccia,Patescibacteriota,gyrA,1,0,0
Myxococcia,Myxococcota,gyrA,53,10,0.18867924528301888
Natranaerobiia,Bacillota,gyrA,3,3,1
Negativicutes,Bacillota,gyrA,106,6,0.05660377358490566
Nitriliruptoria,Actinomycetota,gyrA,8,0,0
Nitrospinia,Nitrospinota,gyrA,2,0,0
Nitrospiria,Nitrospirota,gyrA,2,1,0.5
Oligoflexia,Bdellovibrionota_B,gyrA,4,2,0.5
Peptococcia,Bacillota,gyrA,4,0,0
Phycisphaerae,Planctomycetota,gyrA,13,9,0.6923076923076923
Planctomycetia,Planctomycetota,gyrA,129,13,0.10077519379844961
Polyangia,Myxococcota_A,gyrA,29,13,0.4482758620689655
Proteinivoracia,Bacillota,gyrA,5,0,0
Rhodothermia,Bacteroidota,gyrA,40,3,0.075
Rubrobacteria,Actinomycetota,gyrA,9,2,0.2222222222222222
Saccharimonadia,Patescibacteriota,gyrA,8,1,0.125
Spirochaetia,Spirochaetota,gyrA,95,40,0.42105263157894735
Sulfobacillia,Bacillota,gyrA,10,6,0.6
Synergistia,Synergistota,gyrA,27,13,0.48148148148148145
Syntrophia,Desulfobacterota,gyrA,3,3,1
Syntrophobacteria,Desulfobacterota,gyrA,9,5,0.5555555555555556
Syntrophomonadia,Bacillota,gyrA,9,7,0.7777777777777778
Syntrophorhabdia,Desulfobacterota,gyrA,1,0,0
Terriglobia,Acidobacteriota,gyrA,39,3,0.07692307692307693
Thermincolia,Bacillota,gyrA,2,0,0
Thermoanaerobacteria,Bacillota,gyrA,29,29,1
Thermoanaerobaculia,Acidobacteriota,gyrA,1,1,1
