family,order,class,phylum,gene,n,n_res,f_res
1604HC,CAJXXZ01,Alphaproteobacteria,Pseudomonadota,gyrA,3,2,0.6666666666666666
172606-1,Cytophagales,Bacteroidia,Bacteroidota,gyrA,4,2,0.5
2013Ark19i,Burkholderiales,Gammaproteobacteria,Pseudomonadota,gyrA,2,0,0
AKS1,AKS1,Gammaproteobacteria,Pseudomonadota,gyrA,1,0,0
ASO4-4,Desulfobacterales,Desulfobacteria,Desulfobacterota,gyrA,4,2,0.5
Abditibacteriaceae,Abditibacteriales,Abditibacteriia,Armatimonadota,gyrA,1,0,0
Abyssicoccaceae,Staphylococcales,Bacilli,Bacillota,gyrA,1,0,0
Acanthopleuribacteraceae,Acanthopleuribacterales,Holophagae,Acidobacteriota,gyrA,2,1,0.5
Acetivibrionaceae,Acetivibrionales,Clostridia,Bacillota,gyrA,8,8,1
Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,gyrA,202,55,0.2722772277227723
Acetohalobiaceae,Halobacteroidales,Halanaerobiia,Bacillota,gyrA,3,3,1
Acetomicrobiaceae,Synergistales,Synergistia,Synergistota,gyrA,3,3,1
Acetonemataceae,Sporomusales,Negativicutes,Bacillota,gyrA,2,0,0
Acholeplasmataceae,Acholeplasmatales,Bacilli_A,Bacillota_I,gyrA,39,0,0
Acidaminobacteraceae,Peptostreptococcales,Clostridia,Bacillota,gyrA,7,7,1
Acidaminococcaceae,Acidaminococcales,Negativicutes,Bacillota,gyrA,9,3,0.3333333333333333
Acidiferrobacteraceae,Acidiferrobacterales,Gammaproteobacteria,Pseudomonadota,gyrA,1,0,0
Acidihalobacteraceae,DSM-5130,Gammaproteobacteria,Pseudomonadota,gyrA,4,0,0
Acidilutibacteraceae,Tissierellales,Clostridia,Bacillota,gyrA,1,0,0
Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,gyrA,4,2,0.5
Acidimicrobilacustridaceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,gyrA,2,0,0
Acidithiobacillaceae,Acidithiobacillales,Gammaproteobacteria,Pseudomonadota,gyrA,17,1,0.058823529411764705
Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,gyrA,37,3,0.08108108108108109
Acidothermaceae,Acidothermales,Actinomycetes,Actinomycetota,gyrA,1,1,1
Actinomycetaceae,Actinomycetales,Actinomycetes,Actinomycetota,gyrA,127,75,0.5905511811023622
Actinopolymorphaceae,Propionibacteriales,Actinomycetes,Actinomycetota,gyrA,7,0,0
Acutalibacteraceae,Oscillospirales,Clostridia,Bacillota,gyrA,25,24,0.96
Aeribacillaceae,Bacillales,Bacilli,Bacillota,gyrA,4,1,0.25
Aerococcaceae,Lactobacillales,Bacilli,Bacillota,gyrA,50,3,0.06
Aeromonadaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,gyrA,52,6,0.11538461538461539
Aerosakkonemataceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,gyrA,8,0,0
Aestuariirhabdaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,gyrA,2,0,0
Aestuariispiraceae,UBA8366,Alphaproteobacteria,Pseudomonadota,gyrA,6,0,0
Aestuariivirgaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,gyrA,4,3,0.75
Afifellaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,gyrA,5,0,0
Aggregatilineaceae,Aggregatilineales,Anaerolineae,Chloroflexota,gyrA,1,0,0
Ahniellaceae,Xanthomonadales,Gammaproteobacteria,Pseudomonadota,gyrA,1,0,0
Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiia,Verrucomicrobiota,gyrA,23,5,0.21739130434782608
Alcanivoracaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,gyrA,20,0,0
Alicyclobacillaceae,Alicyclobacillales,Bacilli,Bacillota,gyrA,13,5,0.38461538461538464
Alkalibacillaceae,Bacillales,Bacilli,Bacillota,gyrA,23,0,0
Alkalibacteraceae,Eubacteriales,Clostridia,Bacillota,gyrA,5,0,0
Alkalispirochaetaceae,DSM-27196,Spirochaetia,Spirochaetota,gyrA,2,0,0
Allostellaceae,ATCC43930,Alphaproteobacteria,Pseudomonadota,gyrA,1,0,0
Alteromonadaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,gyrA,216,5,0.023148148148148147
Amarolineaceae,SSC4,Anaerolineae,Chloroflexota,gyrA,1,1,1
Aminiphilaceae,Synergistales,Synergistia,Synergistota,gyrA,1,0,0
Aminithiophilaceae,Synergistales,Synergistia,Synergistota,gyrA,1,1,1
Aminobacteriaceae,Synergistales,Synergistia,Synergistota,gyrA,5,1,0.2
Ammonificaceae,Desulfotomaculales,Desulfotomaculia,Bacillota,gyrA,4,4,1
Amoebophilaceae,Cytophagales,Bacteroidia,Bacteroidota,gyrA,11,9,0.8181818181818182
Amorphaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,gyrA,8,0,0
Amphibacillaceae,Bacillales,Bacilli,Bacillota,gyrA,168,3,0.017857142857142856
Anaerobacaceae,Sedimentisphaerales,Phycisphaerae,Planctomycetota,gyrA,1,1,1
Anaerobacillaceae,Bacillales,Bacilli,Bacillota,gyrA,4,0,0
Anaerofustaceae,Eubacteriales,Clostridia,Bacillota,gyrA,2,0,0
Anaerohalosphaeraceae,Sedimentisphaerales,Phycisphaerae,Planctomycetota,gyrA,2,2,1
Anaerolineaceae,Anaerolineales,Anaerolineae,Chloroflexota,gyrA,12,1,0.08333333333333333
Anaeromusaceae,Anaeromusales,Negativicutes,Bacillota,gyrA,1,0,0
Anaeromyxobacteraceae,Myxococcales,Myxococcia,Myxococcota,gyrA,7,3,0.42857142857142855
Anaeroplasmataceae,Acholeplasmatales,Bacilli_A,Bacillota_I,gyrA,1,0,0
Anaerosomataceae,Anaerosomatales,Coriobacteriia,Actinomycetota,gyrA,2,0,0
Anaerotignaceae,Lachnospirales,Clostridia,Bacillota,gyrA,5,1,0.2
Anaerovoracaceae,Peptostreptococcales,Clostridia,Bacillota,gyrA,20,1,0.05
Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Pseudomonadota,gyrA,331,204,0.6163141993957704
Ancalomicrobiaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,gyrA,5,0,0
Aneurinibacillaceae,Aneurinibacillales,Bacilli,Bacillota,gyrA,9,5,0.5555555555555556
Angustibacteraceae,Actinomycetales,Actinomycetes,Actinomycetota,gyrA,4,1,0.25
Anoxybacillaceae,Bacillales,Bacilli,Bacillota,gyrA,38,37,0.9736842105263158
Anthocerotibacteraceae,Gloeobacterales,Cyanobacteriia,Cyanobacteriota,gyrA,1,0,0
Antricoccaceae,Mycobacteriales,Actinomycetes,Actinomycetota,gyrA,4,0,0
Aquaspirillaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,gyrA,6,0,0
Aquidulcibacteraceae,Caulobacterales,Alphaproteobacteria,Pseudomonadota,gyrA,3,0,0
Aquisalimonadaceae,Nitrococcales,Gammaproteobacteria,Pseudomonadota,gyrA,4,0,0
Arcobacteraceae,Campylobacterales,Campylobacteria,Campylobacterota,gyrA,42,1,0.023809523809523808
Ardenticatenaceae,Ardenticatenales,Anaerolineae,Chloroflexota,gyrA,1,0,0
Arenicellaceae,Arenicellales,Gammaproteobacteria,Pseudomonadota,gyrA,2,0,0
Aristaeellaceae,Christensenellales,Clostridia,Bacillota,gyrA,4,0,0
Armatimonadaceae,Armatimonadales,Armatimonadia,Armatimonadota,gyrA,1,0,0
Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinomycetota,gyrA,28,10,0.35714285714285715
