genus,family,order,class,phylum,gene,n,n_res,f_res
Abditibacterium,Abditibacteriaceae,Abditibacteriales,Abditibacteriia,Armatimonadota,gyrA,1,0,0
Abiotrophia,Aerococcaceae,Lactobacillales,Bacilli,Bacillota,gyrA,1,0,0
Absicoccus,Erysipelotrichaceae,Erysipelotrichales,Bacilli_A,Bacillota_I,gyrA,2,2,1
Abyssalbus,Flavobacteriaceae,Flavobacteriales,Bacteroidia,Bacteroidota,gyrA,1,0,0
Abyssibacter,OUC007,Nevskiales,Gammaproteobacteria,Pseudomonadota,gyrA,1,0,0
Abyssibius,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,gyrA,1,0,0
Abyssicoccus,Abyssicoccaceae,Staphylococcales,Bacilli,Bacillota,gyrA,1,0,0
Abyssisolibacter,MCWD3,Tissierellales,Clostridia,Bacillota,gyrA,1,0,0
Abyssogena,NA,NA,NA,NA,gyrA,1,0,0
Acanthopleuribacter,Acanthopleuribacteraceae,Acanthopleuribacterales,Holophagae,Acidobacteriota,gyrA,1,0,0
Acaricomes,NA,NA,NA,NA,gyrA,1,0,0
Acaryochloris,Thermosynechococcaceae,Thermosynechococcales,Cyanobacteriia,Cyanobacteriota,gyrA,2,0,0
Accumulibacter,Rhodocyclaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,gyrA,3,0,0
Acerihabitans,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,gyrA,1,0,0
Acetanaerobacterium,Ruminococcaceae,Oscillospirales,Clostridia,Bacillota,gyrA,1,1,1
Acetatifactor,Lachnospiraceae,Lachnospirales,Clostridia,Bacillota,gyrA,2,2,1
Aceticella,Thermoanaerobacteraceae,Thermoanaerobacterales,Thermoanaerobacteria,Bacillota,gyrA,1,1,1
Acetilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Bacillota,gyrA,1,1,1
Acetitomaculum,Lachnospiraceae,Lachnospirales,Clostridia,Bacillota,gyrA,1,1,1
Acetivibrio,Acetivibrionaceae,Acetivibrionales,Clostridia,Bacillota,gyrA,7,7,1
Acetoanaerobium,Filifactoraceae,Peptostreptococcales,Clostridia,Bacillota,gyrA,3,0,0
Acetobacter,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,gyrA,37,9,0.24324324324324326
Acetobacterium,Eubacteriaceae,Eubacteriales,Clostridia,Bacillota,gyrA,8,1,0.125
Acetobacteroides,ZOR0009,Bacteroidales,Bacteroidia,Bacteroidota,gyrA,1,0,0
Acetohalobium,Acetohalobiaceae,Halobacteroidales,Halanaerobiia,Bacillota,gyrA,1,1,1
Acetomicrobium,Acetomicrobiaceae,Synergistales,Synergistia,Synergistota,gyrA,3,3,1
Acetonema,Acetonemataceae,Sporomusales,Negativicutes,Bacillota,gyrA,1,0,0
Acholeplasma,Acholeplasmataceae,Acholeplasmatales,Bacilli_A,Bacillota_I,gyrA,8,0,0
Achromobacter,Burkholderiaceae_B,Burkholderiales,Gammaproteobacteria,Pseudomonadota,gyrA,24,0,0
Acidaminobacter,Acidaminobacteraceae,Peptostreptococcales,Clostridia,Bacillota,gyrA,1,1,1
Acidaminobacterium,Butyricicoccaceae,Oscillospirales,Clostridia,Bacillota,gyrA,1,1,1
Acidaminococcus,Acidaminococcaceae,Acidaminococcales,Negativicutes,Bacillota,gyrA,6,2,0.3333333333333333
Acidibrevibacterium,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,gyrA,1,1,1
Acidicapsa,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,gyrA,4,0,0
Acididesulfobacillus,Desulfitobacteriaceae,Desulfitobacteriales,Desulfitobacteriia,Bacillota,gyrA,1,1,1
Acidiferrobacter,Acidiferrobacteraceae,Acidiferrobacterales,Gammaproteobacteria,Pseudomonadota,gyrA,1,0,0
Acidihalobacter,Acidihalobacteraceae,DSM-5130,Gammaproteobacteria,Pseudomonadota,gyrA,4,0,0
Acidiluteibacter,Vicingaceae,Flavobacteriales_E,Bacteroidia,Bacteroidota,gyrA,1,0,0
Acidilutibacter,Acidilutibacteraceae,Tissierellales,Clostridia,Bacillota,gyrA,1,0,0
Acidimangrovimonas,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,gyrA,2,0,0
Acidimicrobium,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,gyrA,1,1,1
Acidiphilium,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,gyrA,5,3,0.6
Acidipila,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,gyrA,1,1,1
Acidipropionibacterium,Propionibacteriaceae,Propionibacteriales,Actinomycetes,Actinomycetota,gyrA,5,0,0
Acidisarcina,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,gyrA,1,0,0
Acidisoma,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,gyrA,4,3,0.75
Acidisphaera,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,gyrA,1,0,0
