order,class,phylum,gene,n,n_res,f_res
AKS1,Gammaproteobacteria,Pseudomonadota,gyrA,1,0,0
ATCC43930,Alphaproteobacteria,Pseudomonadota,gyrA,2,0,0
Abditibacteriales,Abditibacteriia,Armatimonadota,gyrA,1,0,0
Acanthopleuribacterales,Holophagae,Acidobacteriota,gyrA,2,1,0.5
Acetivibrionales,Clostridia,Bacillota,gyrA,17,17,1
Acetobacterales,Alphaproteobacteria,Pseudomonadota,gyrA,202,55,0.2722772277227723
Acholeplasmatales,Bacilli_A,Bacillota_I,gyrA,43,0,0
Acidaminococcales,Negativicutes,Bacillota,gyrA,10,3,0.3
Acidiferrobacterales,Gammaproteobacteria,Pseudomonadota,gyrA,3,0,0
Acidimicrobiales,Acidimicrobiia,Actinomycetota,gyrA,16,6,0.375
Acidithiobacillales,Gammaproteobacteria,Pseudomonadota,gyrA,19,1,0.05263157894736842
Acidothermales,Actinomycetes,Actinomycetota,gyrA,1,1,1
Actinomycetales,Actinomycetes,Actinomycetota,gyrA,1422,207,0.14556962025316456
Aggregatilineales,Anaerolineae,Chloroflexota,gyrA,2,0,0
Alicyclobacillales,Bacilli,Bacillota,gyrA,16,5,0.3125
Anaerolineales,Anaerolineae,Chloroflexota,gyrA,12,1,0.08333333333333333
Anaeromusales,Negativicutes,Bacillota,gyrA,1,0,0
Anaerosomatales,Coriobacteriia,Actinomycetota,gyrA,2,0,0
Aneurinibacillales,Bacilli,Bacillota,gyrA,12,5,0.4166666666666667
Ardenticatenales,Anaerolineae,Chloroflexota,gyrA,1,0,0
Arenicellales,Gammaproteobacteria,Pseudomonadota,gyrA,2,0,0
Armatimonadales,Armatimonadia,Armatimonadota,gyrA,2,1,0.5
Atribacterales,Atribacteria,Atribacterota,gyrA,3,0,0
Azospirillales,Alphaproteobacteria,Pseudomonadota,gyrA,52,0,0
B-17B0,Bacteroidia,Bacteroidota,gyrA,1,1,1
B231,Cyanobacteriia,Cyanobacteriota,gyrA,1,0,0
BOG-932,Alphaproteobacteria,Pseudomonadota,gyrA,1,0,0
Babelales,Babeliae,Babelota,gyrA,2,2,1
Bacillales,Bacilli,Bacillota,gyrA,806,68,0.08436724565756824
Bacillales_A,Bacilli,Bacillota,gyrA,156,5,0.03205128205128205
Bacteriovoracales,Bacteriovoracia,Bdellovibrionota,gyrA,5,5,1
Bacteroidales,Bacteroidia,Bacteroidota,gyrA,296,133,0.44932432432432434
Balneolales,Rhodothermia,Bacteroidota,gyrA,23,0,0
Bdellovibrionales,Bdellovibrionia,Bdellovibrionota,gyrA,5,3,0.6
Beggiatoales,Gammaproteobacteria,Pseudomonadota,gyrA,4,0,0
Berkiellales,Gammaproteobacteria,Pseudomonadota,gyrA,2,0,0
Borreliales,Spirochaetia,Spirochaetota,gyrA,43,0,0
Brachyspirales,Brachyspiria,Spirochaetota,gyrA,11,11,1
